target_id,gene_name,gene_type,V4,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
MSTRG.5318.2,NA,NA,NA,3.5300610580058e-05,0.00266720289268143,-0.857397460155704,0.207287897513267,4.83152170900732,0.231055551667549,0.0190431785409315,-0.00589764071203986,0.0454092301422744,0.0454092301422744
MSTRG.9066.17,NA,NA,NA,3.75068254755397e-05,0.00280129517668949,4.13078334619014,1.00205194744411,1.37224449253512,5.18291746790885,0.22303963023428,-0.14315694028388,1.28312252783051,1.28312252783051
MSTRG.10422.5,NA,NA,NA,3.87323573270088e-05,0.00285492992255682,-0.859314109983182,0.208829171697058,4.5862519748047,0.248401915972316,0.013997507494928,0.0195971101143962,0.0514169269325909,0.0514169269325909
MSTRG.17116.4,NA,NA,NA,3.91199939097657e-05,0.00287469725178368,0.645865540013468,0.157044922504273,5.55537408264028,0.136489361797926,0.00433565965477627,0.00984768167629825,0.0326590018717832,0.0326590018717832
MSTRG.3028.22,NA,NA,NA,4.05405732744417e-05,0.00295466559813735,4.81327365334736,1.17271721040736,2.71382769269183,8.21700366988823,1.72808158478184,-0.144678220674469,0.334816898596593,0.334816898596593
MSTRG.16767.8,NA,NA,NA,4.21116154695186e-05,0.00305072447277335,4.91790125761437,1.20078315901622,1.76580344824724,8.54721141058727,1.27062963255681,0.3437273383104,0.892190659908636,0.892190659908636
MSTRG.11987.15,NA,NA,NA,4.26320506590313e-05,0.00308049416050537,0.494881954569686,0.120917266210902,6.82953539320246,0.0877715929786285,0.00258973483777577,0.0152842005259926,0.0193417430641015,0.0193417430641015
MSTRG.15560.1,NA,NA,NA,4.27965086309208e-05,0.00308709140078959,1.19927252107958,0.293088857176286,4.75105881735761,0.534557667786055,0.0120703209600899,0.116781296341262,0.0471153257952852,0.116781296341262
MSTRG.14.5,NA,NA,NA,4.35290444017221e-05,0.00311948143708116,-0.759908281949205,0.185891964246848,5.48768453431152,0.21470516593836,0.00793342683686219,0.0439003067204652,0.0338120088048924,0.0439003067204652
MSTRG.8.1,NA,NA,NA,4.53299315139364e-05,0.00322572532038928,-0.571350461276632,0.140088861726783,6.11884641129714,0.112355239993982,0.00397929571367464,0.0140492481784197,0.025458038056184,0.025458038056184
MSTRG.2400.2,NA,NA,NA,4.70142909930681e-05,0.00330655426411831,0.634675444285899,0.155940131561764,5.59214654780401,0.145578398816087,0.00440980110088595,0.0265083525769093,0.0320661858463644,0.0320661858463644
MSTRG.8296.3,NA,NA,NA,5.05411440499097e-05,0.00352522391271093,-0.53147626964846,0.131128003358143,6.72453233189487,0.101901545223218,0.00568344385824267,0.0157683532209883,0.020108386038797,0.020108386038797
MSTRG.8682.4,NA,NA,NA,6.0320299006597e-05,0.00404356812967416,0.557177130851955,0.138893079646748,6.1826915856626,0.10550278480455,0.00411409353698289,0.0113470042895484,0.0248228378236539,0.0248228378236539
MSTRG.11156.1,NA,NA,NA,6.17565994360053e-05,0.00411129764801507,0.495977249237798,0.123808711853691,7.26256402181868,0.084797552532493,0.00629635477297489,0.00745304898208152,0.0166965409233305,0.0166965409233305
MSTRG.22260.3,NA,NA,NA,6.2778500846314e-05,0.00415880465928286,0.678559763337693,0.169550248137932,6.67726370988311,0.172629749698633,0.0138918046649816,0.02922912530047,0.0204712113534214,0.02922912530047
MSTRG.11342.18,NA,NA,NA,6.43917636913061e-05,0.00424236665125305,0.913428381624991,0.228579376409418,4.494795466885,0.297256758813948,0.0239110608941065,0.03477810948906,0.0544617360854707,0.0544617360854707
MSTRG.3542.4,NA,NA,NA,6.46158965092459e-05,0.00424388157018741,-3.4457135277832,0.862444531959883,2.65536937611493,4.45445519951345,0.245711586015905,0.870004270045348,0.356629199044628,0.870004270045348
MSTRG.3181.12,NA,NA,NA,6.58308122394268e-05,0.00431360486069169,0.871637251026143,0.218407720720696,4.39384631455856,0.247131094298521,0.0129818597131114,0.0110251966438867,0.0585710389925029,0.0585710389925029
MSTRG.2194.11,NA,NA,NA,6.75889172649833e-05,0.00439468555501756,0.750016449105846,0.188227968108325,6.11970711420827,0.203179374664071,0.0276953399425189,0.015332125664067,0.0254493120247642,0.0254493120247642
MSTRG.11173.2,NA,NA,NA,7.09794582115491e-05,0.00457452738986374,-0.645294122597409,0.162420743692487,6.5038983319623,0.155343349763655,0.0176702950873926,0.0203572028701414,0.0219004518850385,0.0219004518850385
MSTRG.18475.7,NA,NA,NA,7.14040045266478e-05,0.00458970584161119,1.13074276441172,0.284710096990766,4.56951408341693,0.423618067599589,0.0696567802753788,-0.0196013955019422,0.0519329787173586,0.0519329787173586
MSTRG.8105.1,NA,NA,NA,7.3682016376174e-05,0.00471458766952233,0.938176619901492,0.236669924826318,5.13022491395441,0.33126779501969,0.00888378291017414,0.0751351970657681,0.0401647948124229,0.0751351970657681
MSTRG.24436.11,NA,NA,NA,7.40556980338109e-05,0.00473490814163601,-1.08224116011809,0.273095649632552,4.95360865388845,0.382373512590218,0.0687401485914766,-0.029990481098861,0.0431317021808619,0.0431317021808619
MSTRG.3164.2,NA,NA,NA,7.44484693658619e-05,0.00475371686273723,3.71159589042131,0.936892601059183,1.63007250254511,4.95778068240228,0.301946583497818,0.729300249332888,1.01470503538134,1.01470503538134
MSTRG.24728.19,NA,NA,NA,7.47804223682699e-05,0.00476680008052483,0.847417419988123,0.213965113598039,4.42731271453156,0.220434741631872,0.011562200630401,-0.00531237997780745,0.0571094041251318,0.0571094041251318
MSTRG.4344.2,NA,NA,NA,7.51056327655053e-05,0.00478391704793234,-0.642187184839019,0.162188801591464,6.10784110701179,0.151928167441005,0.0138877837316506,0.0213707829303066,0.0255700273108622,0.0255700273108622
MSTRG.3208.1,NA,NA,NA,7.58527303986913e-05,0.00482058952368852,3.99210772006757,1.0088368162263,1.30290667947384,5.09537960209424,0.162837307621648,0.230040676762498,1.36379027503876,1.36379027503876
MSTRG.15290.1,NA,NA,NA,7.647862785583e-05,0.0048498786954561,0.808514195229333,0.20441931933935,4.68840829067889,0.236079909918879,0.0140783779005482,0.0358858080402997,0.0486025092781963,0.0486025092781963
MSTRG.20601.13,NA,NA,NA,7.71838349050277e-05,0.00487383006142058,4.19605193955122,1.06149076295226,2.03557945270585,6.02569910037712,1.00444290363643,-0.074888482944354,0.685701056113036,0.685701056113036
